2020-08-13 10:29:24,004 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象：<selenium.webdriver.phantomjs.webdriver.WebDriver (session="c9a87d30-dd0c-11ea-b30d-f906b0501806")>)
2020-08-13 10:29:24,006 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 10:29:24,020 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 10:29:24,065 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 10:29:24,079 INFO [root] [base.py (base_click:38] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 10:29:24,621 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 10:29:24,631 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 10:29:24,649 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@163.com)
2020-08-13 10:29:24,703 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 10:29:24,713 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 10:29:24,731 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa222)
2020-08-13 10:29:24,780 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 10:29:24,790 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 10:29:25,355 INFO [root] [base.py (base_get_text:54] - [base]: 正在获取：('css selector', '.fa-exclamation-circle')元素文本信息)
2020-08-13 10:29:25,356 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '.fa-exclamation-circle')元素，超时时间为：30秒)
2020-08-13 10:29:25,380 INFO [root] [test_login.py (test_login_failure:56] - 登录失败用例验证正确)
2020-08-13 10:29:32,272 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象：<selenium.webdriver.phantomjs.webdriver.WebDriver (session="d1a7c2c0-dd0c-11ea-a7e3-bf8682c81954")>)
2020-08-13 10:29:32,272 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 10:29:32,283 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 10:29:32,327 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 10:29:32,343 INFO [root] [base.py (base_click:38] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 10:29:32,709 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 10:29:32,719 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 10:29:32,737 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@163.com)
2020-08-13 10:29:32,805 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 10:29:32,822 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 10:29:32,843 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa111)
2020-08-13 10:29:32,894 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 10:29:32,905 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 10:29:33,749 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 10:29:33,754 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 10:29:33,792 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('partial link text', '注销退出')元素，超时时间为：30秒)
2020-08-13 10:29:33,818 INFO [root] [base.py (base_click:38] - [base]: 正在对：('partial link text', '注销退出')元素进行点击操作)
2020-08-13 10:29:34,256 INFO [root] [base.py (base_get_text:54] - [base]: 正在获取：('xpath', ".//*[@id='content']/div/div/div[2]/div[1]/p[1]")元素文本信息)
2020-08-13 10:29:34,256 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/div/div[2]/div[1]/p[1]")元素，超时时间为：30秒)
2020-08-13 10:29:34,280 INFO [root] [test_login.py (test_login_success:41] - 登录后退出登录用例执行成功)
2020-08-13 10:29:41,131 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象：<selenium.webdriver.phantomjs.webdriver.WebDriver (session="d6f507b0-dd0c-11ea-bdde-e7171ed59eed")>)
